Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
TARACHAND SAHU,Durg,BJP,0,Post Graduate,Rs 3205175 ,Rs 1060847 
Sunil Khan,Durgapur,CPM,0,Graduate,Rs 2796700 ,Rs 0 
SANDEEP DIKSHIT,East Delhi,INC,0,Post Graduate,Rs 4764901 ,Rs 246779 
KAVURU  SAMBA SIVA RAO,Eluru,INC,0,Not Given,Rs 117898221 ,Rs 191621 
ANNASAHEB M. K. PATIL,Erandol,BJP,0,Post Graduate,Rs 4492440 ,Rs 944685 
DR. SEBASTIAN PAUL,Ernakulam,IND,0,Doctorate,Rs 2993000 ,Rs 764304 
KU. DEVENDRA SINGH YADAV,Etah,SP,0,Doctorate,Rs 117888469 ,Rs 16200 
RAGHURAJ SINGH SHAKYA,Etawah,SP,0,Post Graduate,Rs 1924170 ,Rs 0 
MITRASEN,Faizabad,BSP, 27 ,12th Pass,Rs 5380516 ,Rs 318855 
AVTAR SINGH BHADANA,Faridabad,INC,0,8th Pass,Rs 9763648 ,Rs 0 
SUKHBIR SINGH BADAL,Faridkot,SAD, 1 ,Post Graduate,Rs 133811603 ,Rs 17359781 
CHANDRA BHUSHAN SINGH (MUNNOO BABU),Farrukhabad,SP,0,Post Graduate,Rs 9594069 ,Rs 768000 
MAHENDRA PRASAD NISHAD,Fatehpur,BSP,0,Graduate,Rs 1082468 ,Rs 56554 
ZORA SINGH MAAN,Ferozepur,SAD, 1 ,10th Pass,Rs 5561000 ,Rs 723000 
RAM JI LAL SUMAN,Firozabad,SP, 2 ,Graduate,Rs 4235985 ,Rs 0 
L. K. ADVANI,Gandhinagar,BJP,0,Graduate Professional,Rs 13042443 ,Rs 554000 
NIHALCHAND MEGHWAL,Ganganagar,BJP,0,Graduate,Rs 2282422 ,Rs 168941 
MAJ. GEN. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),Garhwal,BJP,0,Graduate Professional,Rs 7242679 ,Rs 0 
KIRIP CHALIHA,Gauhati,INC,0,Post Graduate,Rs 9202689 ,Rs 205430 
